file,class,type,,,,wmc,lcom,loc,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellInputSource.java,com.topjohnwu.superuser.internal.ShellInputSource,interface,,,,2,1,6,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,class,,,,14,3,58,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$BindTask,interface,,,,1,0,3,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\IOFactory.java,com.topjohnwu.superuser.internal.IOFactory,class,,,,9,10,28,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$Predicate,interface,,,,1,0,3,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceServer.java,com.topjohnwu.superuser.internal.RootServiceServer$ServiceRecord,innerclass,,,,1,0,10,,,,,,,,WMC,LCOM,LOC
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\StreamGobbler.java,com.topjohnwu.superuser.internal.StreamGobbler$OUT,innerclass,,,,4,1,17,,,,,,,Calculated Value,15.18182,40.72727273,58.61363636
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\UiThreadHandler.java,com.topjohnwu.superuser.internal.UiThreadHandler,class,,,,4,0,22,,,,,,,Standard Value ,49,78.34,
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\FileUtils.java,com.topjohnwu.superuser.internal.FileUtils$Flag,innerclass,,,,0,0,7,,,,,,,,,,
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\WaitRunnable.java,com.topjohnwu.superuser.internal.WaitRunnable,class,,,,5,0,20,,,,,,,,,,
